Reference period,Total (house and land),House only
October 2015,98.8,98.5
November 2015,99.3,99.1
December 2015,99.2,99.1
January 2016,99.2,99.1
February 2016,99.4,99.4
March 2016,99.4,99.4
April 2016,99.5,99.5
May 2016,99.5,99.5
June 2016,99.5,99.5
July 2016,99.5,99.5
August 2016,99.5,99.5
September 2016,100,100
October 2016,100,100
November 2016,99.9,99.9
December 2016,100,100
January 2017,100.2,100.2
February 2017,100.4,100.4
March 2017,100.4,100.3
April 2017,100.5,100.5
May 2017,100.6,100.6
June 2017,100.6,100.6
July 2017,100.9,101
August 2017,100.9,101
September 2017,101.1,101.2
October 2017,101.3,101.6
November 2017,101.3,101.6
December 2017,101.3,101.6
January 2018,101.8,102.2
February 2018,102.4,102.9
March 2018,102.4,102.9
April 2018,102.4,102.9
May 2018,102.5,103.1
June 2018,103.5,104.1
July 2018,103.6,104.3
August 2018,104,104.7
September 2018,104.1,104.9
October 2018,104.3,105.1
November 2018,104.7,105.6
